X.,English,Spanish
213,"navel,",suombligo
214,"neck,",sucuello
215,"face,",sucara
216,"foot,",supie
217,"leg,",supierna
218,"tongue,",sulengua 
219,"tooth,",sudiente
220,"liver,",suhígado
221,"finger,",sudedo
222,"belly,",supanza
223,"heart,being, ",sucorazón 
224,"knee,",surodilla
225,"elbow,",sucodo
226,"butt,",sussentaderas 
227,"name,",sunombre
228,"horn,",sucuerno
229,"wing,",suala
230,"tail,",sucola
231,"clothes,",suropa
232,"hat,",susombrero
233,"mother,",sumadre
234,"father,",supadre
235,brother,"ofmale, "
236,sister,"ofmale, "
237,brother,"offemale, "
238,sister,"offemale, "
239,"grandmother,",suabuela
240,"grandfather,",suabuelo
241,"son,",suhijo
242,"daughter,",suhija
243,"uncle,",sutío
244,"aunt,",sutía
245,"grandson,",sunieto
246,"granddaughter,",sunieta
247,cousin,"female,"
248,cousin,"male,"
249,"co-father,",sucompadre
250,"co-mother,",sucomadre
251,flat,estáparejo
252,strong,fuerte
253,weak,débil
254,tasty,sabroso
255,heavy,pesado
256,full,lleno
257,empty,vacío
258,clean,limpio
259,dirty,sucio
260,poor,pobre
261,rich,rico
262,closed,cerrado
263,open,abierto
264,dry,seco
265,wet,mojado
266,raw,crudo
267,toasted,tostado
268,soft,blando
269,hard,duro
270,new,nuevo
271,"old,used ",ofthing 
272,alive,vivo
273,sharp,filoso
274,rough,rasposo
275,rotten,podrido
276,crooked,chueco
277,lazy,flojo
278,ugly,feo
279,pretty,bonito
280,,estácerca 
281,,estálejos 
282,round,redondo
283,below,abajo
284,above,arriba
285,slowly,despacio
286,quickly,rápido
287,early,temprano
288,trash,basura
289,wovenblouse/dress ,huipil
290,hawk,gavilán
291,cat,gato
292,smell,olor
293,urine,orina
294,wall,pared
295,clearedfield ,rastrojo
296,plantingrow ,surco
297,ditch,zanja
298,,maizespike 
299,"owner,boss ",dueño
300,illnes,enfermedad
301,priest,secerdote
302,glue,pegamento
303,housepost,horcón
304,hole,agujero
305,rainbow,arcoiris
306,"stool,seat ",banquito
307,half,mitad
308,handspan,cuartade mano
309,"husband,",sumarido
310,"wife,",suesposa
311,"fingernail,",suuña
312,tripe,tripas
313,"eyebrow,",suceja
314,tendon,tendón
315,armpit,sobaco
316,wise,sabio
317,mosquito,zancudo
318,smooth,liso
319,"trunk,box ","baúl,cajón"
320,lizard,lagartija
321,rabbit,conejo
322,eagle,águila
323,flint,pedernal
324,monkey,"chango,mono"
325,arrow,flecha
326,shadow,sombra
327,dream,sueño
328,leafcutterant ,arriera
329,queenleafcutter ant ,chicatana
330,goosefoot,epazote
331,coati,tejón
332,skunk,zorrillo
333,gallo,rooster
334,pig,marrano
335,horse,caballo
336,fussy,delicado
337,shiny,brillante
338,happy,alegre
339,"nut,pecan ",nuez
340,pinetorch ,ocote
