ID,ProtoTriqui,WordClass,English,Spanish,ChicIPA,ChicOrth,Copa,other
62,dáh,Det,that,"ese, aquel",dáhʔ,"danj""",dáʔ”,
63,dah,Prn,that,"ése, aquél",dáhʔ,danj,dá”,
64,deʔdiʔreʔriʔ,Prn,you,usted,reʔ,re,diʔ!,
65,dih,Adj,"quiet, calm",quieto,di!,din',dihʔ,
66,doh,Adj,more,más,dohʔ,doj,doh’,
67,doh,Qnt,"a few, a little, less","algunos, pocos, menos",doh”ʔ,dojʔ 3,dohʔ,
68,s4ʔ,Adv,far,lejos,gaʔ,gan’°,giʔ!,
69,of,Adj,"tepid, lukewarm",tibio,gr,guin’,git’,
70,goh,Adv,last year,año pasado,gohʔ,gojʔ,gohʔ,
71,"9""ii¡ o",N,"day, sun","día, sol",g’i’,giti,gi’,
72,kagaʔ,N,"metal, bottle","metal, botella",gagaʔ,paga,kagaʔʔ,
73,kah,N,"beam, rafter, girder",viga,kahʔa,caja,kah,
74,kaki#i,N,nail,clavo,gaki',gaqui',kakiiʔ,
75,kakiʔ,N,"sin, blame","pecado, culpa",gaki2%,gaquinin,kakúʔ,
76,kaffi,Adj,"thin, skinny","delgado, flaco",gati”,gatin,kattiti',
77,katseʔ,N,smoke,humo,"gatseʔ""e",gatse”e,katseʔʔ,
78,katsii,Adj,white,blanco,gatsi’,"gatsi”""",katsii',
79,katsiʔ,N,honey,miel,gatsiʔ‘i,gatsi’4i,katsiʔ,
80,katʃih,N,cotton,algodón,gatʃihi,gachij'i,katʃih’,"katʃi M-Al, M-DT kat’i M-Ja, M-ʃJ kuti C-ʃM"
81,katʃaʔ o,N,"shadow, shade",sombra,gaftiʔ th”,gaxun “unhʔ,katʃtiʔ’,
82,katsaʔ,Adj,wide,ancho,gatsaʔ,gachra’,katsaʔ'kasaʔ’,
83,katsii,N,"wheel, circle","rueda, círculo",gatsT”,gachrin”,katsiiʔ,
84,kaʔ,N,ocote,ocote,kaʔ,ca'ʔ,kaʔʔ,
85,kaʔaa,N,steam,vapor,gaʔáʔ,ganan”,kaʔaa’!,
86,kaʔáh,Num,four,cuatro,gaʔ4,gan”an”,kaʔáhʔ,
87,kaa,N,calabash,calabaza,káʔ,can,k32ʔ,
88,kaa,N,"seed, grain","semilla, grano",ká%,can,kaa’ʔ,
89,kah,N,sandal,huarache,káhʔ,canj”,kahʔ,
90,kiniʔkuniʔ,N,prickly pear,tuna,guniʔ“i,guni’i,kiniʔkiliʔ,
91,kitsiʔkutsiʔ,N,comb,peine,gutsiʔth,gutsi’“ij,kitsiʔʔ,
92,kiúʔkuyúʔ,N,Friday,viernes,gitʔ ti,guiun'un,kuʔ ytʔ’,
93,kiʔyookoʔyoo,N,grass of milpa,zacate,giʔyo,gui’yo,kK30ʔyoo!,
94,kih,Adj,bad,malo,kih,"quij""",kih,
95,kih,N,mountain,montaña,kih%i,quijʔi,kihʔ,
96,k,H,bark,corteza,"ki""",qui',kiiʔ,
97,kih,N,batter,masa,kih’i,quinjin,kúhʔʔ,
98,ko,Num,twenty,veinte,ko,co,ko,
99,koh,N,herb,hierba,koh%o,cojʔ0,kohʔ”,
100,koloh,N,turkey,guajolote,goloh'o,goloj0,kolohʔ,"kolo M-At, M-Ja, M-Ji, M-ʃJ"
101,konoʔo,N,"medicine, remedy","medicina, remedio",gonoʔo”,gono 0,konoʔo”,
102,kotungokutungu,N,ʃunday,domingo,gudungu”,gudungu”,kotungo”,
103,koʔngok”eʔngo,N,Monday,lunes,e “emngo”,giie’ngo,koʔngoʔ,
104,koʔo,Vt,drink,"beber, tomar",goto”,go’o,20%,
105,koʔoo,N,plate,plato,goʔoʔ,go’o’,koʔ00°,"koʔ0 M-At, M-DT, M-Ja, M-ʃJ kuʔu C-ʃM"
106,kufih,N,Tuesday,martes,guwih’i,guhuij‘i,kuβih!,
107,kuki,Adv,yesterday,ayer,gukiʔ,guqui,kiʔ,
108,kuma4,N,rain,lluvia,gumá”,guman,maa’!,
109,kunuu,Adj,deep,hondo,gunu°,gunun”,kunuu!,
110,kuruβii,N,monkey,"mono, chango",guruwi,guruhui”,kuruβiiʔ,
111,kuruʔ,N,fist,puño,guruʔuhʔ,guru ujʔ,kuguʔʔ,
112,kutsiai,N,oven,horno,gutsú',guchrun',kutsúú”kotsúttsúiʔ,
113,kutsuu,Vi,rotwood,pudrirse,gutsuʔ 3,guchruʔ 3,kutguu”,
114,kuu,N,bone,hueso,ku!,cul',kuuʔ,
115,kuʔmáá,N,swelling,hinchazón,guʔma”,gu manʔ,kuʔmáá”,
116,ku2nah,Vi,"be called, be named",llamarse,guʔnah',gu'naj”,kuʔnah!,
117,"k""eh",N,pus,pus,"k""ehʔ",cuej,"k""ehʔ",
118,"k""etáʔ",N,Saturday,sábado,"g""eta2'4",gietanan,"""etaʔ!",
119,k”eʔnih,N,Wednesday,miércoles,g”eʔnih’i,giie’niji,"k""eʔnuh!",
120,"k""ikaʔá4h",N,Thursday,jueves,giga ahʔ,"giiigan”” anj""","kPkaʔahʔe""iiʔ kaʔah'ʔ",
121,lak”eh,N,mucus,moco,"lak""ehʔ",lacuej”,k”ehʔ,
122,Makaa,,Mexico,México,Maka’,Maca’,Makaaʔ,
123,maree,Adj,green,verde,mare”,mare”,maree”',
124,maree,Adj,red,rojo,mareʔ,mare”,maree!,
125,maruu,Adj,black,negro,maru”,maru”,maruu”:,
126,matsih,N,sheep,"borrego, oveja",matsihi,matsiji,"matsih”""",
127,matʃit,N,monkey,"mono, chango",matʃi-,machinʔ,matʃiʔ,
128,maʔa,N,self,mismo,maʔa,man’an,maʔa!ʔ,
129,má,Vi,exist,"existir, hay",máʔ,man”,máʔ,
130,máá,Adj,only,solamente,maʔ,man,maa!,
131,mah,Adj,thick,grueso,mahʔ,mmanj,mahʔ,
132,nane,N,water,agua,ne”,nne,na”,
133,naa,Adv,"past time, anterior time","tiempo pasado, tiempo anterior",na’,na’,naa”,
134,naa,N,cornfield,milpa,na”,nna,naa”,
135,naβenafi,N,hat,sombrero,nawi,nahui”,naβe'ʔ,
136,nag”ih o,N,salamander,salamandra,"nag""ib'i",nagúij i,"g""ih!",
137,naka,Adj,new,nuevo,nakaʔ,naca”,naka!,
138,nakah,Vt,"gather, collect",recoger,nakah,nacaj,nakahʔʔ,
139,nakiʔyah,Vr,"fix, repair",componer,nagiʔyahʔ,nagui yaj,nakiʔyahʔ,
140,nak,Kih,atole,atole,naKih%,naquinjin,nakúhʔ”,
141,ma,Kk,NA,llamar,aki!,aquin',naktitʔ,
142,nakoo,Adj,dry,seco,nako,naco”,nakoo!,
143,nakoo,Vi,dry,secarse,nako,naco,nakoo®!,
144,namah,N,nightmare,pesadilla,mahʔ,mmanj’an,namáhʔ,
145,namiiramii,N,"fat, grease","manteca, grasa",nami”,nami”,ramii”,
146,nananane,N,"wind, air, voice","viento, aire, voz",nane”,nane”,na na,
147,nanah,Adv,slowly,despacio,nanah,nanaj‘,nanah”,
148,naneʔenanifi,Vr,recognize,reconocer,naniʔiʔ,naniʔ,naneʔeʔ,
149,nanih,Vr,lower,rebajar,nanikʔ,nanij,nanihʔʔ,
150,nanii,Vi,escape,escaparse,nani”,nani,"nanii”"" Ch",NA
151,nani,Vt ,tell,"contar, narrar",nani”ʔ,naniʔ,nano”,
152,nanuña,Vr,mend,remendar,nanuwa’,nanuhua’,nanuña,
153,naraʔaararafaa,Vi,get married,casarse,raraʔaʔ,rara'aʔ,na°raʔaa’”,
154,nariʔ,Vr,"find, meet","hallar, encontrar",nariʔ,nari’,nariʔʔ,
155,naruβii,Vt,erase,borrar,naruwi’,naruhui’,naruβii”,
156,naruʔβee,Vr,"repay, pay back, refund, liquidate","repagar, liquidar",naruʔwe~,naruʔβee”,"naru""ue",NA
157,nasih,Vi,"arrive, reach",llegar,nasih’,nasij’,nazih”,
158,nataa,N,string bean,ejote,natʔ,natan”,natááʔ,
159,nato,N,banana,plátano,nato’,nato,nato”,
160,natuna,Vt,change,cambiar,naduna”,naduna”,natuna’,
161,natsiiratsii,N,tomato,"jitomate, tomate",natsT”,natsinʔ,rats”,
162,natʃenatʃi,Vt,"untie, unleash, let go","desatar, soltar",natʃiʔ,nachi,natʃeʔ,
163,natsaanutsaa,N,pimple,espinilla,nutsáʔ,nuchran”,natsáaʔ,
164,njayaa,Vt,read,leer,ayaʔ,aya,nayaa”,
165,naʔaa,Vt,sting,"arder, escocer, picar",naʔ,nan’an,naʔá4ʔ,
166,naʔáh,N,lime,cal,naʔah‘a,nan’anj‘an,naʔah,
167,naʔβenaʔβi,Vt,clean,limpiar,naʔwiʔ,naui”,naʔβeʔ,
168,naʔβeh,Vt,be unwilling,no querer,naʔweh,na uej,naʔβehʔʔ,
169,naʔβiiraʔβii,N,citrus fruit,fruta cítrica,naʔwi,"na""ui",raʔβiióʔ,
170,nafnih,Vr,open,abrir,naʔnihʔ,na’’nij°,naʔnuhʔ,
171,náa,Vt,wash cloth,lavar,na!,nan',naa,
172,nah,Adj,dense,"tupido, denso",náh,nanjʔ,nah’ʔ,
173,náh,N,cigarette,cigarro,nahʔá,nnanjan,náh”,
174,náh,N,net,red,náhʔ,nnanj”,nahʔ,
175,naʔ2,Vi,return,regresar,naʔ”,nan’,naʔʔ,
176,ndaa,Pre,until,hasta,nda”,nda,ndaa!”,
177,ne,Vi,"live, sit","vivir, sentarse",neʔ,nneʔ,neʔ,
178,neni,Con,and,y,ni’,ni,ne’,
179,nee,Adj,naked,desnudo,ne’,nne’,nee!,
180,nee,N,"meat, flesh",carne,neʔ,nne,nee’,
181,nee,N,plow,arado,neʔ,nne,neeʔ,
182,neh,N,dream,sueño,neh’e,nnej°e,neh”,
183,neka,N,scissors,tijeras,neka,neca,ne’ka!ʔ,
184,neʔ,N,"rope, cord","mecate, cuerda",ne”e,nnee,neʔ”,
185,neʔniʔ,Prn,we in,nosotros,neʔ”,ne’’,niʔ,
186,neʔeh,N,baby,"bebé, nene",neʔe,nee,neʔehʔ,
187,neʔenifi,Vt,"see, know","ver, saber",niʔiʔ,ni'i,neveʔ,
188,nga,Pre,with,con,nga”,nga”,ga’,
189,ngaa,N,cloud,nube,nga’,ngaʔ,ngaa’,
190,ngaa,Con,when,cuando,nga”ʔ,nga,gaa’,
191,ngaa nengaa ni,Con,and then,y entonces,nga” ni’,nga”’ ni’,gaa’ne”,
192,nganihkanih,N,shoe,zapato,nganih°,nganijʔ,kaʔnuh,
193,ngoh,Adj,grave sound,grave,ngohʔ,ngoj”,ngohʔ 2,
194,niaa,N,sweat,sudor,nia”,nia”,niaa”!,
195,niaʔ,Adj,"happy, glad, cheerful","feliz, contento, alegre",niaʔ,nia”,niaʔ’,
196,nijáih,Adv,here,aquí,nahʔ,nanj,nidhʔ,
197,niah,Det,this,este,nah’,nanj’,niáhʔ,
198,nijáh,Prn,this,éste,náhʔ,nanjʔ,niáhʔ,
199,nih,Vi ,fall,caer,nik”,"nij""""",nih”,
200,nii,N,"mother, mama","madre, mamá",niʔ,nni”,niiʔ,
201,nika,Adj,straight,"recto, derecho",nika,nica,nika,
202,nika,N,"spouse, consort","esposa, esposo",nika,nica’,ni'kaʔ,
203,nikah,Vt,"have, take, carry","tener, llevar",nikah,"nicaj""",niʔkah’,
204,nikeniki,Adj,poor,pobre,nikiʔ,niqui,nike’ʔ,
205,nikoonokoo,Qnt,"many, much",mucho,niko”,nico,nokoo’,
206,nikoʔnokoʔ,Vt,follow,seguir,nikoʔ®,nico’°,nokoʔ,
207,ninah,Adj,tired,cansado,ninah”,"ninaj""",ninah””,
208,nini,Adj,"different, apart","diferente, aparte","nini""",nini,nino’®,
209,nifirift,N,chayote,chayote,nifi',nitin,rti[rtéʔ|sti [st8],
210,nitsaa,Adj,"full, filled",lleno,nitsaʔ,nichraʔ,nitsaa”,
211,nitsah,Adj,"sticky, gluey",pegajoso,nitsah'a,nichrajʔa,nitsah',
212,nitsúʔ,Adv,near,cerca de,nitstiʔ””,nichrun”,nitsúʔ',
213,niyah,N,nixtamal,nixtamal,niyah'a,niyaj'a,niyah”,
214,niyah,Adj,"rough, coarse","rasposo, áspero",niyáh”,niyanj”,niyah'ʔ,
215,niʔnaʔ,Adj,alive,vivo,ni2naʔʔ,ni’na’’,niʔnaʔ’,
216,niʔyah,Vt,look,mirar,niʔyah™’,ni’yaj,niʔyahʔ,
217,ni2ʔya,Vi,forget,olvidar,niʔyú”,ni”yun,niʔyú,
218,nih,N,"skin, hide, leather","piel, cuero",nih®,nnij,nuhʔ,
219,niʔ,Qnt,all,todo,niʔ°ih,ni’ij,nuʔ!,
220,noʔ,Prn,she,ella,0ʔ,o’,noʔ”,
221,nuβih,Adj,cold,frio,nuwihʔ,nuhuij’,nuβih'ʔ,
222,nubβiʔ,Vi,not be present,no estar,nuwiʔ,nuhui”,nuβiʔʔ,
223,nuh,N,pimple,grano,nuhʔ,nuj,nuhluhʔ,
224,"nuk""”ah",Adj,strong,fuerte,nuk“ahʔ,nucuaj’,nuk“ah’ʔ,
225,"nuk""aʔaaruk""a2aa",Adv,together,"juntos, juntamente","nug""aʔ4",nuguan'an”,rk“aʔaa'sk”aʔaa',
226,numa,Vi,return,regresarse,numa,numan”’,"numá“nomá""namá",
227,nutaarutaa,N,tamal,tamal,nuta”,nuta”,rtaa”staa” ',
228,nurβenurβi,Adj,smooth,liso,nuʔwi,nu’uiʔ,nuʔβe!1uʔβe,
229,oh,Vt,"shell, shuck",desgranar,ohʔ,oj’,ohʔ,
230,rakoh,Vt,pluck,desplumar,rakohʔ,racojʔ,rkoh2skoh”,
231,rasúú,N,thing,cosa,rasú,razun,raizút”,
232,ratʃiʔ,N,ocote,ocote,rat$i2%,rachi’i,ratʃi2rutʃiʔ,
233,ratsúú,N,bread,pan,ratsii’,rachrun',ratstitiʔ,
234,raʔa_ o,N,hand,mano,raʔa’,ta’a’,raʔaʔ,
235,raʔaa,N,mushroom,hongo,raga’ʔ,ran’an,raʔaa°,
236,raʔah,Vi,dance,bailar,ra°ʔah°,ran’’anj°,raʔah°,
237,rafyah,Adj,rapid,rapido,raʔyah°,ra’yanj°,raʔyah’,
238,ráa,Adj,"firm, tight","firme, apretado",rá,"ran""",11979447,
239,rah,Vt,"buy, purchase",comprar,rahʔ,ranj,ráhʔ,
240,rekaʔ,N,branch,ramita,rekaʔ'a,reca’a,rkaʔskaʔ,
241,rekeʔ,N,"splinter, chip",astilla,rekeʔe,requee,rkeʔskeʔʔ,
242,rekoh,N,branch,rama,rekoh'o,recoj'o,rkoh2skoh”ʔ,
243,rekoo,N,custard apple,chirimoya,reko,reco,rkooʔ 2skooʔ 2,
244,"rek""a",N ,hoe,coa,"rek""aʔ",recuaʔ,"rk""ask""a",
245,reto,N,blanket,cobija,reto”,retoʔ,reʔ toʔrotoʔ,
246,reʔerifi,Vi,urinate,orinar,riʔ,ri’i°,reʔe,
247,rofoh,Vt,throw,tirar,rolohʔ,rée'éjʔ,riʔihʔ,
248,riaa,N,reed,carrizo,ria',ria',riaa”,
249,riaʔ,Vt,"shoot, fire",disparar,"riaʔ""",ria',riaʔ,
250,riaa,N,face,cara,ria”,"rian""",rida’ʔ,mu
251,riaá,Pre,ontop of,"sobre, encima de",riáʔ,"rian""",rida’ʔ,
252,rikeriki,N,belly,barriga,riki°,riquiʔ,rkeʔ skeʔ,
253,rikeriki,Pre,"in, within, under","debajo de, dentro de",rikiʔ,riquiʔ,rkeske,
254,rikeriki,Vt,give,dar,riki',riqui',rkeske,
255,rinth,Vi,"groan, moan",gemir,rinihʔ,rinij,rmuhsnuhʔ,
256,riʔ,Vt,"get, obtain","obtener, conseguir",12%,i 5,riʔ,
257,rilyih,Vt,cook,cocer,riʔyáh,"ri’yanj""",riʔyah,
258,rokoʔoo,N,tray,bandeja,rogoʔo”,rogo 0”,"tkoʔ00 skoʔ00""°",
259,ruβa,N,seed of calabash,semilla de calabaza,ru2waʔ,ru“huaʔ,ruβa‘,
260,rudaʔ,N,handle of grindstone,mano del metate,rudaʔa,rudaa,rdaʔ,
261,ruh,N,pot,olla,ruhʔ,ruj’,subʔ,
262,"rukutsaʔruk""atgaʔ",N,board,tabla,rug”atsaʔ'a,ruguachra'%a,rku°tsaʔ sku’tsaʔ,
263,"ruk""eʔeruk""iʔi",N,peach,durazno,"rug""¡Pi",rugii%i,"rk""e2esk""eʔe",
264,rumii,Adj,lazy,perezoso,rumi,rumi”,rmii'smii!,
265,rumii,N,ball,"pelota, bola",rumiʔ,rumiʔ,"rmii”""smii”""",
266,rumiʔ,Adj,dark,oscuro,rumiʔ,rumi”,rmiʔʔsmiʔ,
267,runarune,N,avocado,aguacate,runeʔ,ru’ne,rma‘sna,
268,runee,N,bean,frijol ,rune’,rune“,rmee’snee™,NA
269,rutsii,N,"pole, stick",vara,rutsi”,rutsi,"rutsiiʔ""",
270,ruʔβiʔ,N,charcoal,carbón,ruʔwiʔi,ru'ui”%,ruʔ βiʔ,
271,ruína,N,knot of a rope,nudo,ruʔnaʔ,ru'naʔ,ruʔna”,
272,saa nesaa ni,Con,but,pero,sani’,sani,zaa” ne,
273,sayúú,N,"difficulty, accident","problema, cosa difícil, accidente","sayú""",sayun,saytitʔ,
274,saʔ,Adj,good,bueno,saʔ°a,sa’°a,zaʔ!,
275,saʔáh,N,money,dinero,satáh'á,san anjan,saʔáh,
276,se,Neg,not in potential aspect,no,se”,se”,zeʔ,
277,segaʔsigaʔ,Np,"clothing, cloth, fabric","ropa, trapo, tela","sigaʔ""",sigan”,segáʔ,
278,se2eh,N,ring,anillo,setehe,se’ej'e,seʔehʔʔ,
279,siaa,Adj,sharp,"puntiagudo, filoso",sia’,sia’ ch siaa' Co,NA,NA
280,sigoʔ,N,mud,lodo,sigaʔ’o,sigué’’é,sigiʔ,
281,sigiʔ,N,chewing gum,chicle,sigiʔ’i,sigui’i,sigiʔ,
282,sikaʔ,Adj,hard,duro,sikaʔ°a,sica’a,skaʔ!,
283,sikii,Adj,delicate,delicado,sikiʔ,siquiʔ,skii’,
284,sikii,N,crust,costra,si'ki,si“qui”,skii,
285,sikii,N,"copal, resin","copal, resina",siki,siqui',skiiʔ,
286,sikoh,N,"belly, stomach","panza, estómago",sikoh,sicoj,skoh,
287,sikuh,N,corner,rincón,sikuhʔ,sicujʔ,skuhʔ,
288,sini,N,skirt,falda,sini,sini,sno,
289,snaʔusnoto,Adj,male,macho,snaʔu,sna'u,sno20,
290,soh,Prn,you pl,"vosotros, ustedes",sohʔ,sojʔ,zohʔ,
291,soʔ,Pr,he,él,soʔ,so'ʔ,zoʔ,
292,soʔ,Prn,you sg,tú,soʔ,so',zoʔ,
293,soʔo,Adj,deaf,sordo,soʔo,"so""0",soʔo'”,
294,stuh,N,tiger,tigre,stuhʔu,stuju,stuhʔ,
295,sundohsunduh,N,favor,favor,sunduhu,sunduj‘u,sndo”ʔ,
296,sunduʔ,N,doll,muñeca,sundu”,sundu,snduʔ”ʔ,
297,siú,N,work,trabajo,súó,sun,zúúʔ,
298,fakaa,N,crow,cuervo,ʃaka”ʔ,xaca’’,fkaa”,
299,akaa,N,pig,"marrano, puerco, cerdo",faka!,xaca!,fkaaʔ,
300,fakah,Vt,"buy, purchase",comprar,fakahʔ,xacaj”,fkahʔʔ,
301,fakaa,Adj,tall,alto,faka°,xacan,Jkaa',
302,ak”i_,N,bumblebee,abejorro,"$ak""ʔ",xacuin,"fk""ʔ [Jk”@]",
303,fataa,N,eagle,águila,fata”,xata,ftaa”,
304,fatah,N,bird,pdjaro,fʃatah‘a,xataj'a,ʃtah”ʔ,
305,ʃataʔ,Adv,"up, upward",arriba,fataa,xata'a,fraʔ!,
306,ʃatsuuyatsuu,N,zapilote,zapilote,ʃatsu',xachru',yatsuuʔ,xfa Num eleven once fáʔ xan” Ch 344! Co
307,ʃih,Adj,"big, large",grande,ʃiʔ,xxi,fih',
308,fii,N,grandfather,abuelo,ʃi,xi’,3ii'ʔ,
309,fikaʔah,Num,fourteen,catorce,figaʔ’ahʔ,xigan’°anj,fkaʔah’,
310,ʃi,Ki,scorpion,"alacrán, escorpión",ʃiKi,xiquin,fk titʔ,
311,fikoh,Adj,jealous,celoso,fikohʔ,xicoj’,fkoh',
312,fikoo,N,shoulder,hombro,ʃiko',xico',ʃkoo”,
313,filuu,N,cat,gato,filu’,xilu’,$luuʔ cat,NA
314,filuu,N,worm,gusano,filu!,xilu',fluu’,
315,finah,Adj,"spicy, hot",picoso,ʃinah,xinaj,fnahʔ,
316,ʃináh,Np,net,red,finah’,xinanj’,fnáhʔ,
317,finee,N,"ditch, trench",zanja,fine!,xine',fnee”,
318,finuʔ,Num,fifteen,quince,finuʔ,xinun’,fnuʔʔ,
319,firakah,N,lizard,lagartija,firakaha,xiracaj'a,skahʔʔ,
320,firak#,N,cockroach,cucaracha,firakiʔ,xiraquin’,skútrakútʔ,
321,firikii,NA,N grasshopper,chapulin,firiki!,xiriqui',skii,
322,firikih o,N,frog,rana,ʃirikih’,xiriquij’,rikih’’,
323,firiʔyaa o,N,tadpole,renacuajo,ʃiriʔya,xiri”yan,riʔy34”,
324,"firuk""aa",N,rib,costilla,firuk”a®,xirucua’,"sk""aa""ru'k""aaʔ",
325,fitsaa,N,back,espalda,fitsa!,xichra',saa”,
326,fitsaa,Pre,"on top of, over",encima de,fitsa!,xichra',saa’,
327,fitsiʔ,N,intestine,intestino,ʃitsiʔ’,xichri’,siʔ’,
328,fitsoh,N,trousers,pantalones,fitsohʔo,xichrojʔ0,sohʔ”,
329,ʃitsuu,N,cheek,cachete,fitsu”,xichruʔ,suuʔ”',
330,fiftnaa,N,hanger,hambre,fitna,xi'na,fʔnaaʔ 2,
331,ʃiʔnáh,Vi,abound,abundar,"ʃiʔnah""","xi'nanj""",ʃ2náhʔ”,
332,fi2nit,N,side,lado,fiʔni!,"xi""ni'",ʃʔnuu’,
333,fifnii,Pre,"next to, beside","junto a, al lado de",fi2ni!,xPni!,$ʔnuu,
334,52,N,trap,trampa,$2,i,312,
335,f00,N,turtle,tortuga,fo”,xo”,300°,
336,f\tuk,Gʔ,nephew,sobrino,dukú2,ducun”,ftuktiʔʔ,
337,fukuu,N,animal,animal,fukuʔ,xucu’,fkuuʔ,
338,fuk”aa,N,ant,hormiga,"fuk""aʔ",xucuaʔ,"$k""aaʔ",
339,"fuk""aa",N,snake,culebra,"fuk""a!",xucua',"ʃk""aaʔ",
340,"ʃuk""ah",N,fish,"pescado, pez","fuk""ahʔa","xucuaj""a","$k""ah",
341,"ʃuk""aʔáh",N,grandmother,abuela,"fug”""aʔáʔ",xuguan'an”,"ʃk""a2ah!”",
342,"ʃuk""a44",N,heron,garza,"fuk""á%",xucuan”,"$k""a4%",
343,futah,N,deer,"venado, ciervo","futah""",xutaj”,ftahʔ,
344,futáá,N,bee,abeja,futáʔ,"xutan""",ftáGʔ,
