LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V013_kaki, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V014_kana, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V015_kaki, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V016_txivi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V017_ntixan, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V018_kayi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V019_kuaki, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V020_kusiki, ⇌ i / _[-long]*[+syll],si ⇌ ko / _[a-e-f-i-o-r-s-w-ɕ-ʃ-ʒ-β]*[f-k-p-s-t-ɕ-ʃ-t͡ʃ-kʷ-t͡ɕ][e-i-o],isi ⇌ ko / _siki
V021_lala, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V022_kasha, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V023_sayo'va, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V024_yi'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V025_kitxi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V026_kuati, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V027_kakan, ⇌ i / _[-long]*[+syll],ɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV],iɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV]
V028_kua'a, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V029_kivi, ⇌ i / _[-long]*[+syll],ɕ_ʔ ⇌ k_β / _i_i,iɕ_ʔ ⇌ k_β / _i_i
V030_ko'o, ⇌ i / _[-long]*[+syll],ɕi_i ⇌ ko_o / _ʔ_,iɕi_i ⇌ ko_o / _ʔ_
V031_chi'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V032_ntachi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V033_sakusivi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V034_ka'mi, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V035_nte'e, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V036_kuiin, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V037_sakana, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V038_chiti, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V039_kaita'an, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V040_ntikani, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V041_ki'vi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V042_kukuachiini, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V043_sa'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V044_kuntxaa, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V045_ka'ni, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V046_kuniñu'u, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V047_kua'nu, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V048_kunii, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V049_koan, ⇌ i / _[-long]*[+syll],iβi ⇌ oã / k_,i_iβi ⇌ _oã / _k_
V050_ichi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V051_tu'un, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V052_kasini,_ĩ ⇌ i_ini / _sis_,_sĩ ⇌ ka_ni / _si_,isi ⇌ ka / _sini
V053_suva'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V054_ntikoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V055_kuni,_toⁿd͡ʑeʔe ⇌ i_ni / _ɕi_,ɕit_ⁿd͡ʑeʔe ⇌ k_ni / _o_,iɕi ⇌ ko / _[-lat]*[+syll]
V056_kashi, ⇌ i / _[-long]*[+syll],ʃ ⇌ k / _aʃi,iʃ ⇌ k / _aʃi
V057_tashi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V058_sakuchi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V059_kuchi, ⇌ i / _[-long]*[+syll],ʃi ⇌ ko / _t͡ʃi,iʃi ⇌ ko / _t͡ʃi
V060_kunani, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V061_saka, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V062_chikaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V063_kutxiya'a, ⇌ iɕi / _[-lat]*[+syll], ⇌  / [-long]*,iɕi ⇌  / _kot͡ɕiʒaʔa
V064_tava, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V065_ntikatxa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V066_koxoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V067_taan, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V068_ntova, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V069_kuñu'un, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V070_yakua, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V071_nuna, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V072_kuna, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V073_kixa'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V074_ntantoso, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V075_kuntxi'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V076_kotontoso, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V077_kumani, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V078_kotoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V079_kasun, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V080_sakasun, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V081_kutxaki, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V082_koo,ĩĩ ⇌ iɕoo / _,ĩĩ ⇌ koo / _,iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V083_txe'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V084_kagua, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V085_ntataka, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V086_santuvi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V087_kuchuun, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V088_ntiki, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V089_saka'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V090_ntika'nu, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V091_kachi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V092_ntachinuu, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V093_santoko, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V094_kotuntxe'e, ⇌ iɕito / _ⁿd͡ʑeʔe, ⇌ koto / _ⁿd͡ʑeʔe,iɕi ⇌ ko / _[-lat]*[+syll]
V095_ntiyaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V096_txitxiin, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V097_txiin, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V098_kunti'i, ⇌ iɕ / _i[t-ⁿd][a-e-i][g-k-p-t-ð-ʔ-kʷ][a-e-i],i ⇌ ko / _[t-ⁿd][a-e-i][g-k-p-t-ð-ʔ-kʷ][a-e-i],iɕi ⇌ ko / _[-lat]*[+syll]
V099_nu'un, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V100_ntake'e, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V101_taan, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V102_ku'un,ko ⇌ iɕ / _aʔã,a_ã ⇌ _õ / ko_ʔ_,iɕa_ã ⇌ ko_õ / _ʔ_
V103_ntikue'e, ⇌ iⁿdi / _ko[a-e]ʔ[a-e], ⇌ ⁿdi / _ko[a-e]ʔ[a-e],i ⇌  / _[-long]*[+syll]
V104_ntxi'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V105_tivi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V106_ka'mu, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V107_kuixa, ⇌ i / _[-long]*[+syll],ɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll],iɕ ⇌ ko / _a?[-strid -lat -del.rel -long][n-r-t-ð-ɕ-ɾ-ʒ-ⁿd-ⁿd͡ʑ-t͡ɕ]?[+syll]
V108_kaxi, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V109_kee, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V110_ke'e, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V111_xani, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V112_kusiiini, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V113_kotoini, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V114_koto, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V115_nto'o, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V116_ntikua'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V117_kotoni'ni, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V118_ntakan, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V119_ntakatu'un, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V120_kana, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V121_chintxee, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V122_ki'in, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V123_txatxa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V124_nuu, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V125_nuuse'e, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V126_keta, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V127_koyo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V128_xaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V129_satatan, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V130_kini, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V131_ntashita, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V132_kuna, ⇌ i / _[-long]*[+syll],ɕ ⇌ k / _[-strid -lat -long]*[-cg -strid -lat -long][a-e-i-o],iɕ ⇌ k / _[-strid -lat -long]*[a-e-i-o]
V133_kukumi, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V134_tavi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V135_si'vi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V136_ntava, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V137_kani'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V138_chiñu'u, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V139_kataxa'a, ⇌ i / _[-long]*[+syll],ɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV],iɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV]
V140_ki'vi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V141_kukii, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V142_ntakatxa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V143_katun, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V144_ntikaxi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V145_txivintxaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V146_ntakoto, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V147_kunu, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V148_chinii, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V149_kutaka, ⇌ iɕ / _i[t-ⁿd][a-e-i][g-k-p-t-ð-ʔ-kʷ][a-e-i],i ⇌ ko / _[t-ⁿd][a-e-i][g-k-p-t-ð-ʔ-kʷ][a-e-i],iɕi ⇌ ko / _[-lat]*[+syll]
V150_kataka, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V151_ntata, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V152_kuya'a, ⇌ iko / _[f-g-k-p-t-ð-ɕ-ʒ-β-ⁿd-kʷ-ⁿd͡ʑ-t͡ɕ][a-e-o][-lat][+syll], ⇌ ko / _[-lat]*[+syll],i ⇌  / _[-long]*[+syll]
V153_ntikua'a, ⇌ iⁿdi / _ko[a-e]ʔ[a-e], ⇌ ⁿdi / _ko[a-e]ʔ[a-e],i ⇌  / _[-long]*[+syll]
V154_ntasi, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V155_soo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V156_kuntaa, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V157_kantxaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V158_ya'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V159_ntixaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V160_txaso'o, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V161_ntuta'an, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V162_kutuntxe'e, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V163_chintoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V164_chitivintxaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V165_koso,s ⇌ iɕ / _iso,si ⇌ ko / _[a-e-f-i-o-r-s-w-ɕ-ʃ-ʒ-β]*[f-k-p-s-t-ɕ-ʃ-t͡ʃ-kʷ-t͡ɕ][e-i-o],iɕi ⇌ ko / _[-lat]*[+syll]
V166_vaxi,βa ⇌ iki / _ɕi,βa ⇌ ki / _ɕi,i ⇌  / _[-long]*[+syll]
V167_tanta'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V168_ka'an, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V169_sa'antxiva'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V170_kanii, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V171_kontoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V172_ntikintxee, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V174_tivi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V175_kata, ⇌ i / _[-long]*[+syll],ɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV],iɕi ⇌ ka / _[-cg -strid -lat -del.rel -long]*[-strid -lat -nas -long]*[-highV]
V176_ntxikoni'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V177_chinuu, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V178_, ⇌ iɕi / _[-lat]*[+syll], ⇌ ko / _[-lat]*[+syll],iɕi ⇌ ko / _[-lat]*[+syll]
V179_sakua'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V180_kantakava, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V181_kanta, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V182_xaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V183_ntani'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V184_ntativi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V185_kukuiti, ⇌ i / _[-long]*[+syll],sa ⇌ ko / _koiti,isa ⇌ ko / _koiti
V186_sakutxiya'a, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V187_sakukunuo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V188_koto'va, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V189_ntoo, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V190_ntaki'in, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V191_ni'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V192_kuka'nu,ko ⇌ iɕi / _kaʔno, ⇌  / [-long]*,iɕi ⇌ ko / _[-lat]*[+syll]
V193_xaa, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V194_koko, ⇌ i / _[-long]*[+syll],ɕi ⇌ ko / _[-lat]*[e-i-o-õ-ĩ-ẽ],iɕi ⇌ ko / _[-lat]*[+syll]
V195_tivi, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V196_santxi'i, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
V197_tase'e, ⇌ i / _[-long]*[+syll], ⇌  / [-long]*,i ⇌  / _[-long]*[+syll]
