LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V079_kasun,_5_5 ⇌ i1_3_3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <16>,5_5 ⇌ 3_3 / [f-g-k-p-s-t-ð-ɕ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-ã-ĩ-ẽ]_[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <12>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V080_sakasun, ⇌ i1 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]* <45>, ⇌  / [1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <41>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V081_kutxaki,_5_5 ⇌ i1ɕi1_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[a-e-f-g-i-k-o-p-r-s-t-w-ð-ɕ-ɾ-ʃ-ʒ-β-t͡ɕ-t͡ʃ-kʷ]+_ <4>,_5_5 ⇌ ko3_3_3 / _[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-i]_[a-e-f-g-i-k-o-p-r-s-t-w-ð-ɕ-ɾ-ʃ-ʒ-β-t͡ɕ-t͡ʃ-kʷ]+_ <4>,i1ɕi1 ⇌ ko3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <18>
V082_koo,ĩ5ĩ ⇌ i1ɕo1o / _3 <1>,ĩ5ĩ ⇌ ko3o / _3 <1>,i1ɕ_1 ⇌ k_3 / _o_o3 <1>
V083_txe'i,_5_5 ⇌ i1_1_1 / _[f-g-k-m-n-p-r-t-w-ð-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_ <5>,5_5 ⇌ 1_1 / [f-g-k-m-n-p-r-t-w-ð-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-kʷ][a-e-o]_[g-m-n-r-w-ð-ɲ-ɾ-ʔ-ⁿd][g-m-n-r-w-ð-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd]?[a-e-i]_ <5>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V084_kagua,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,5 ⇌ 1 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+5? <42>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V085_ntataka,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>,5 ⇌ 3 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <123>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V086_santuvi,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>, ⇌  / [1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <41>,i1_3 ⇌ _5 / _sa_ⁿdo3βi3 <1>
V087_kuchuun, ⇌ i1 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]* <45>, ⇌  / [1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <41>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V088_ntiki,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>,5 ⇌ 3 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <123>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V089_saka'a,_3 ⇌ i1_1 / _[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-o]_[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-kʷ][1-3-5-a-e-i-o-ã-õ-ĩ-ẽ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[1-3-5-a-e-i-o-ã-õ-ĩ-ẽ]* <9>,3 ⇌ 1 / [1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-o]_[a-e-f-g-i-k-m-n-o-p-r-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-kʷ][1-3-5-a-e-i-o-ã-õ-ĩ-ẽ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[1-3-5-a-e-i-o-ã-õ-ĩ-ẽ]* <7>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V090_ntika'nu,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>,5 ⇌ 3 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <123>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V091_kachi,_5_5 ⇌ i1_3_3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <16>,5_5 ⇌ 3_3 / [f-g-k-p-s-t-ð-ɕ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-ã-ĩ-ẽ]_[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <12>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V092_ntachinuu,_5_5 ⇌ i1_3_3 / _[t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ][a-e-i]_[g-k-p-t-ð-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][e-i-o][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-f-g-k-l-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o]_ <4>,5_5 ⇌ 3_3 / [f-g-k-p-s-t-ð-ɕ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-ã-ĩ-ẽ]_[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+_ <12>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V093_santoko, ⇌ i1 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]* <45>, ⇌  / [1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <41>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V094_kotuntxe'e,_5 ⇌ i1ɕi1to3_3 / _ⁿd͡ʑe_ʔe5 <1>,_5 ⇌ ko3to3_3 / _ⁿd͡ʑe_ʔe5 <1>,i1ɕi1 ⇌ ko3 / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <18>
V095_ntiyaa,_5 ⇌ i1_1 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+ <61>,5 ⇌ 1 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ]?[a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+5? <42>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
V096_txitxiin,_5 ⇌ i1_3 / _[f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <139>,5 ⇌ 3 / [f-g-k-m-n-p-r-s-t-w-ð-ɕ-ɲ-ɾ-ʃ-ʒ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-t͡ʃ-ⁿd͡ʒ-kʷ][a-e-i-o-ã-õ-ĩ-ẽ]_[a-e-f-g-i-k-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ][1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]+[1-3-5-a-e-i-o-ã-õ-ĩ-ʔ-ẽ]* <123>,i1 ⇌  / _[1-3-5-a-e-f-g-i-k-l-m-n-o-p-r-s-t-w-ã-ð-õ-ĩ-ɕ-ɲ-ɾ-ʃ-ʒ-ʔ-β-ⁿd͡ʑ-ⁿd-t͡ɕ-ẽ-t͡ʃ-ⁿd͡ʒ-kʷ]*[a-e-i-o-ã-õ-ĩ-ẽ][1-3-5] <246>
