"ID","IRR_TL","IMPF","PFV","IRR","Valence","Spanish","English","Morphemes","GlossEnglish","GlossSpanish","TONE.IMPF","TONE.PFV","TONE.IRR","NEG.IMPF","NEG.PFV","NEG.IRR1","NEG.IRR2","IMP","NEG.IMP","pMx","Source","Notes"
"V024","yi'i","yí'í","ìyi'í","yi'í","intr","espantarse","get scared",,,,"A.A","B.M.A","M.A","kòó yí'í","kòó níyi'í","ukuyi'í","ikuyi'í",,,"*yuʔwi","Josserand83:136",
"V025","kitxi","kítxì","ìkìtxì","kìtxì","intr","hervir","be boiling",,,,"A.B","B.B.B","B.B","kòó kítxì","kòó níkìtxì","ukìtxì","ikìtxì",,,,,
"V026","kuati","xáti","ìxati","kuati",,"limosnear","beg",,,,"A.M","B.M.M","M.M","kòó xáti","kòó níxati","ukuati","ikuati",,,,,
"V027","kakan","xíkàn","ìxìkàn","kàkàn","tr","pedir, ordenar","ask for, order",,,,"A.B","B.B.B","B.B","kòó xíkàn","kòó níxìkàn","ukàkàn","ikàkàn",,,,,
"V028","kua'a","xá'a","ìxa'a","kua'a","tr","dar","give",,,,"A.M","B.M.M","M.M","kòó xá'a","kòó níxa'a","ukua'a","ikua'a",,,,,
"V029","kivi","xí'ì","ìxì'ì","kivi","intr","morir","die",,,,"A.B","B.B.B","M.M","kòó xí'ì","kòó níxì'ì","ukivi","ikivi",,,,,
"V030","ko'o","xí'i","ìxi'i","ko'o","tr","tomar","drink",,,,"A.M","B.M.M","M.M","kòó xí'i","kòó níxi'i","uko'o","iko'o",,,,,
"V031","chi'i","chí'i","ìchi'i","chi'i","tr","sembrar","sow",,,,"A.M","B.M.M","M.M","kòó chí'i","kòó níchi'i","uchi'i","ichi'i",,,,,
"V032","ntachi","ntáchí","ìntachí","ntachí","intr","volar","fly",,,,"A.A","B.M.A","M.A","kòó ntáchí","kòó níntachí","untachí","intachí",,,,,
"V033","sakusivi","sákusíví","ìsákusivi","sákusíví",,"chiflar","whistle","sa-ku-sivi","DO-be-?","HACER-VBLZ-?","A.M.A.A","B.A.M.M.M","A.M.A.A","kòó sákusíví","kòó nísákusivi","usákusíví",,,,,,
"V034","ka'mi","xá'mi","ìxa'mi","ka'mi","tr","fumar","smoke",,,,"A.M","B.M.M","M.M","kòó xá'mi","kòó níxa'mi","uka'mi","ika'mi",,,,,
"V035","nte'e","nté'è","ìntè'è","ntè'è","intr","llorar; ladrar","cry; bark",,,,"A.B","B.B.B","B.B","kòó nté'è","kòó níntè'è","untè'è","intè'è",,,,,
"V036","kuiin","xíin","ìxiin","kuiin","tr","comprar","buy",,,,"AM","B.MM","MM","kòó xíin","kòó níxiin","ukuiin",,,,,,
"V037","sakana","sákana","ìsákana","sákana","tr","tirar (basura)","throw away (trash)","sa-kana","DO-leave","HACER-irse","A.M.M","B.A.M.M","A.M.M","kòó sákana","kòó nísákana","usàkana",,,,,,
"V038","chiti","chítí","ìchití","chití","ambi","besar(lo); llenarse","kiss (sb.); fill up",,,,"A.A","B.M.A","M.A","kòó chítí","kòó níchití","uchití",,,,,,
"V039","kaita'an","káitá'an","ìkaitá'an","kaitá'an",,"pelear","fight","kai-ta'an","fight-each.other","pelear-entre.ellos","AM.A.M","B.M.A.M","M.A.M","kòó káitá'an","kòó níkaitá'an","ukaitá'an",,,,,,"ta'an used for relatives. used for reflexives- 'with each other'"
"V040","ntikani","ntíkani","ìntikani","ntikani","tr","contar (una historia), preocuparse","tell (a story), worry about","nti-kani","ITER-?","ITER-?","A.M.M","B.M.M.M","M.M.M","kòó ntíkani","kòó níntikani","untikani",,,,,,
"V041","ki'vi","kí'vì","ìki'vì","ki'vì","intr","estar enfermo","be sick",,,,"A.B","B.M.B","M.B","kòó kí'vì","kòó níki'vì","uki'vì",,,,,,
"V042","kukuachi ini","kúkuàchí ini","ìkùkuàchí ini","kùkuàchí ini",,"recriminar","confront","ku-kuachi-ini","VBLZ-shame-inside","VBLZ-culpa-adentro","A.B.A M.M","B.B.B.A M.M","B.B.A M.M","kòó kúkuàchí ini","kòó níkùkuàchí ini","ukùkuàchí ini",,,,,,
"V043","sa'a","sá'a","ìsá'a","sá'a","tr","hacer","do",,,,"A.M","B.A.M","A.M","kòó sá'a","kòó nísá'a","usá'a",,,,,,
"V044","kuntxaa","ntxáá","ìxìntxaa","kuntxaa","tr","cuidar (cosas, animales)","care for, pay attention to (things, animals)",,,,"AA","B.B.M","M.MM","kòó ntxáá","kòó níxìntxaa","ukuntxaa",,,,,,
"V045","ka'ni","xá'ní","ìxa'ni","ka'ni","tr","matar, cazar","kill, hunt, catch",,,,"A.A","B.M.M","M.M","kòó xá'ní","kòó níxa'ni","uka'ni",,,,,,
"V046","kuniñu'u","xíníñú'ú","ìxìníñú'ú","kúníñú'ú","tr","necesitar","need","kuni-ñu'u","see-have.inside?","ver-tener.adentro?","A.A.A.A","B.B.A.A.A","A.A.A.A","kòó xíníñú'ú","kòó níxìníñú'ú","okúníñú'ú",,,,,,
"V047","kua'nu","xá'nu","ìxa'nu","kua'nu",,"crecer","grow",,,,"A.M","B.M.M","M.M","kòó xà'nu","kòó níxa'nu","ukua'no",,,,,,
"V048","kunii","kúnìì","ìkunìì","kunìì","tr","querer","want",,,,"A.BB","B.M.BB","M.BB","kòó kúnìì","kòó níkunìì","ukunìì",,,,,,
"V049","koan","kivi","ìkivi","koan","tr","poder","be able to (do it)",,,,"M.M","B.M.M","M.M","ikívi","kòó níkivi","okoan",,,,,,
"V050","ichi","íchì","ì ìchì","ìchì",,"secar","dry",,,,"A.B","B B.B","B.B","kòó íchì","kòó iìchì","okoíchì",,,,,,
"V051","tu'un","tú'un","ìtu'un","tu'un","tr","arrancar","grab, pull",,,,"A.M","B.M.M","M.M","kòó tú'un","kòó nítu'un","otu'un",,,,,,
"V052","kasini","kaka","ìsísinì","kásinì",,"desayunar; almorzar","have breakfast; have lunch",,,,"A.A.B","B.A.M.B","A.M.B","kòó sísínì","kòó nísísinì","ukásinì",,,,,,
"V053","suva'a","súvà'a","ìsúvà'a","súvà'a","tr","hacer, preparar","prepare, make","su-va'a","DO-good","HACER-bueno","A.B.M","B.A.B.M","A.B.M","kòó súvà'a","kòó nísúvà'a","usúvà'a",,,,,,
"V054","ntikoo","ntíkòo","ìntikòo","ntikòo","intr","levantarse","get up","nti-koo","ITER-stay?","ITER-quedarse?","A.BM","B.M.BM","M.BM","kòó ntíkòo","kòó níntikòo","untikòo",,,,,,
"V055","kuni","xituntxe'e","ìxìni","kuni","tr","ver","see",,,,"M.M.M.M","B.B.M","M.M","kòó xituntxe'e","kòó níxìni","okuni",,,,,,
"V056","kashi","sháshì","ìshàshì","kàshì","tr","machucar","crush",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V057","tashi","táshì","ìtàshì","tàshì","intr","machucarse","get crushed",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V058","sakuchi","sákuchi","ìsákuchi","sákuchi","tr","bañar","bathe (sb.)","sa-kuchi","DO-bathe","HACER-bañarse","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V059","kuchi","shíchi","ìshichi","kuchi","intr","bañarse","take a bath",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V060","kunani","naní","ìxìnaní","kunaní","intr","llamarse","be called, be named",,,,"M.A","B.B.M.A","M.M.A",,,,,,,,,
"V061","saka","sáká","ìsaka","saka",,"mezclar, revolverse","mix, twist",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V062","chikaa","chíkàà","ìchikàà","chikàà","tr","meter (invisible)","put (invisible)","chi-kaa","PUT-?","PONER-?","A.BB","B.M.BB","M.BB","kòó chíkàà","kòó nìchikà","ochikàà",,,,,,"there has to be a container that you can put something into"
"V063","kutxiya'a","kutxíyá'á","ìxìkùtxíyá'á","kutxíyá'á","intr","columpiarse","swing","ku-txi-ya'a","VBLZ-CLF?-pass?","VBLZ-CLF?-pasar?","M.A.A.A","B.B.B.A.A.A","M.A.A.A",,,,,,,,,
"V064","tava","tává","ìtava","tava","tr","sacar","take out, remove",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V065","ntikatxa","ntíkatxa","ìntikatxa","ntikatxa","tr","lavar","wash","nti-katxa","ITER-throw?/dig?","ITER-tirar?/escavar?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V066","koxoo","kóxoo","ìkoxoo","koxoo","intr","quitarse","take off, get out","ko-xoo","NEG-stay","NEG-quedarse","A.MM","B.M.MM","M.MM",,,,,,,,,
"V067","taan","táan","ìtàan","tàan","intr","temblar","quake",,,,"AM","B.BM","BM",,,,,,,,,
"V068","ntova","ntóvà","ìntòvà","ntòvà","intr","germinar,nacer (de plantas, de huevos)","sprout, grow (of plants, out of eggs)",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V069","kuñu'un","ñú'un","ìxìñu'un","kuñu'un","tr","tener adentro, poner adentro","have inside, put inside",,,,"A.M","B.B.M.M","M.M.M",,,,,,,,,
"V070","yakua","yákuà","ìyàkuà","yàkuà","intr","ensuciarse","get dirty",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V071","nuna","núná","ìnùnà","nùnà","intr","abrirse","be open",,,,"A.A","B.B.B","B.B","kòó núná","kòó níxinuna","okúnúná",,,,"*nuneʔ","Josserand83:88",
"V072","kuna","xúná","ìxuná","kuná","tr","abrir","open",,,,"A.A","B.M.A","M.A","kòó xúná","kòó níxuná","okúná",,,,,,
"V073","kixa'a","kixa'á","ìkìxa'á","kixá'á",,"comenzar","begin, start","ki-xa'a","?-?","?-?","M.M.A","B.B.M.A","M.A.A",,,,,,,,,
"V074","ntantoso","ntántósó","ìntantósó","ntantósó",,"olvidar","forget","nta-ntoso","ITER-?","ITER-?","A.A.A","B.M.A.A","M.A.A",,,,,,,,,
"V075","kuntxi'i","kúntxì'ì","ìkuntxì'ì","kuntxì'ì","intr","estar machacado","be mashed, be ground up","ku-ntxi'i","VBLZ-finish?","VBLZ-terminar?","A.B.B","B.M.B.B","M.B.B",,,,,,,,,
"V076","kotontoso","xítontoso","ìxìtontoso","kotontoso","tr","probar","taste","koto-ntoso","take.care-?","cuidar-?","A.M.M.M","B.B.M.M.M","M.M.M.M",,,,,,,,,
"V077","kumani","kúmanì","ìkumanì","kumanì","intr","faltar","be missing, be lacking","ku-mani","NEG-?","NEG-?","A.M.B","B.M.M.B","M.M.B",,,,,,,,,
"V078","kotoo","kotoó","ìkotóó","kotóó","tr","gustar","like","ko-too","VBLZ-?","VBLZ-?","M.MA","B.M.AA","M.AA",,,,,,,,,
"V079","kasun","kásún","ìkasun","kasun","intr","freírse","get toasted",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V080","sakasun","sákasun","ìsákasun","sákasun","tr","freír","toast","sa-kasun","DO-toast","HACER-tostar","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V081","kutxaki","txákí","ìxìtxaki","kutxaki","intr","estar vivo","be alive",,,,"A.A","B.B.M.M","M.M.M","kòó txákí","kòó níxìtxaki","okútxákí",,"́",,,,
"V082","koo","íin","ìxòo","koo","intr","vivir, estar","live, stay",,,,"AM","B.BM","MM",,,,,,,,,
"V083","txe'i","txé'í","ìtxè'ì","txè'ì","intr","podrirse","rot",,,,"A.A","B.B.B","B.B",,,,,,,,,
"V084","kagua","káguà","ìkàguà","kàguà","intr","enchuecarse","to get crooked",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V085","ntataka","ntátaka","ìntataka","ntataka",,"reunirse","gather","nta-taka","ITER-?","ITER-?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V086","santuvi","sántuvi","ìsantuvi","sántuvi","tr","limpiar, preparar","clean, prepare","sa-ntuvi","DO-clean","HACER-limpiar","A.M.M","B.M.M.M","A.M.M",,,,,,,,,
"V087","kuchuun","kuchúun","ìkuchúun","kuchúun","tr","usar","use","ku-chuun","VBLZ-work(n)","VBLZ-trabajo","M.AM","B.M.AM","M.AM",,,,,,,,,
"V088","ntiki","ntíkí","ìntikí","ntikí","tr","buscar","look for",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V089","saka'a","saka'a","ìsàka'a","sàka'a","tr","tocar (un instrumento)","play (an instrument)","sa-ka'a","DO-make.noise","HACER-hacer.ruido","M.M.M","B.B.M.M","B.M.M",,,,,,,,,
"V090","ntika'nu","ntíká'nu","ìntiká'nu","ntiká'nu",,"engrandecer","enlarge","nti-ka'nu","ITER-big","ITER-grande","A.A.M","B.M.A.M","M.A.M",,,,,,,,,"In my text it's used metaphorically as 'honour'"
"V091","kachi","káchí","ìkachi","kachi","tr","decir","say",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V092","ntachinuu","ntáchinúú","ìntachinúu","ntachinúu","tr","volver a poner","put back","nta-chi-nuu","ITER-put-go.down","ITER-poner-bajar","A.M.AA","B.M.M.AM","M.M.AM",,,,,,,,,
"V093","santoko","sántoko","ìsántoko","sántoko","tr","dejar","leave","sa-ntoko","DO-?","HACER-?","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V094","kotuntxe'e","ntxé'é","ìxìtuntxe'é","kotuntxe'é","tr","mirar","look at","tu-ntxe'e","?-?","?-?","A.A","B.B.M.M.A","M.M.M.A",,,,,,,"*ⁿdeʔya","Josserand83:162",
"V095","ntiyaa","ntíyàà","ìntìyàà","ntìyàà","intr","caer(se) (cosa)","fall (thing)","nti-yaa","ITER-?","ITER-?","A.BB","B.B.BB","B.BB",,,,,,,,,
"V096","txitxiin","txítxìin","ìtxitxìin","txitxìin","tr","pegar","paste","txi-txiin","?-stick","?-pegar","A.BM","B.M.BM","M.BM",,,,,,,,,
"V097","txiin","txíin","ìtxìin","txìin","intr","pegarse","stick",,,,"AM","B.BM","BM",,,,,,,,,
"V098","kunti'i","ínti'ì","ìxìnti'ì","kunti'ì","intr","sentarse","sit down",,,,"A.M.B","B.B.M.B","M.M.B",,,,,,,,,"is this the same as vivir koo?"
"V099","nu'un","nù'ùn","ìnù'ùn","nù'ùn","intr","irse (a casa)","leave, go home",,,,"B.B","B.B.B","B.B",,,,,,,,,
"V100","ntake'e","ntáke'é","ìntake'e","ntake'e",,"acomodar el bebe","check on an unborn baby","nta-ke'e","ITER-outside","ITER-afuera","A.M.A","B.M.M.M","M.M.M",,,,,,,,,
"V101","taan","táán","ìtaan","taan","tr","echar, poner","pour, put",,,,"AA","B.M","MM",,,,,,,,,
"V102","ku'un","kuà'àn","ìxà'àn","kù'ùn","intr","ir","go",,,,"B.B","B.B.B","B.B",,,,,,,,,
"V103","ntikue'e","kuè'è","ìntikuè'è","ntikuè'è","intr","estar agresivo","be aggressive","nti-kue'e","ITER-irritated","ITER-irritado","B.B","B.M.B.B","M.B.B",,,,,,,,,
"V104","ntxi'i","ntxí'i","ìntxi'i","ntxi'i",,"terminar, acabar","finish",,,,"A.M","B.M.M","M.M",,,,,,,"*ⁿdɨʔɨʔ","Josserand83:36",
"V105","tivi","tívi","ìtìvi","tìvi","intr","amanecer","wake up",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V106","ka'mu","ká'mu","ìkà'mu","kà'mu",,"arder (del cuerpo)","burn, sting (for body)",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V107","kuixa","xíxa","ìxìxa","kuìxa","intr","ser macizo","be hard, sturdy",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V108","kaxi","xáxí","ìxaxi","kaxi","tr","comer (comida)","eat (food)",,,,"A.A","B.M.M","M.M",,,,,,,"*xexiʔ","Josserand83:102",
"V109","kee","xéé","ìxee","kee","ambi","comer (comida)","eat (food)",,,,"AA","B.MM","MM",,,,,,,,,
"V110","ke'e","ké'é","ìke'é","ke'é","tr","tentar","feel (by touching)",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V111","xani","xání","ìxàní","xàní",,"soñar","dream",,,,"A.A","B.B.A","B.A",,,,,,,,,
"V112","kusii ini","kúsiì ini","ìkusìì ini","kusìì ini","intr","estar feliz","be happy","kusii-ini","happy-inside","felíz-adentro","A.MB M.M","B.M.BB M.M","M.BB M.M","kòó kúsiì ini","kòó níkusìì ini","okusii ini",,,,,,
"V113","koto ini","xíto ini","ìxito ini","koto ini","tr","mirar de soslayo con desconfianza","to look at (sb.) from askance, to be suspicious of (sb.), concerned about (sb.)","koto-ini","take.care-inside","cuidar-adentro","A.M M.M","B.M.M M.M","M.M M.M",,,,,,,,,
"V114","koto","xíto","ìxito","koto","tr","cuidar","to take care of, maintain, provide for",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V115","nto'o","ntó'o","ìnto'o","nto'o","intr","ocurir, pasar, sufrir","happen, occur, suffer",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V116","ntikua'a","ntikuà'à","ìntikuà'à","ntikuà'à","intr","multiplicar","multiply","nti-kua'a","ITER-much","ITER-mucho","M.B.B","B.M.B.B","M.B.B",,,,,,,,,
"V117","kotoni'ni","xítoni'ni","ìxìtòni'ni","kòtòni'ni",,"visitar","visit","koto-ni'ni","take.care-?","cuidar-?","A.M.M.M","B.B.B.M.M","B.B.M.M",,,,,,,,,
"V118","ntakan","ntákàn","ìntakàn","ntakàn","tr","reclamar, pedir","claim, ask back","nta-kaan","ITER-?","ITER-?","A.B","B.M.B","M.B",,,,,,,,,
"V119","ntakatu'un","ntákatù'ún","ìntakatù'ún","ntakatù'ún",,"preguntar","ask","ntaka-tu'un","?-word?","?-palabra?","A.M.B.A","B.M.M.B.A","M.M.B.A",,,,,,,,,
"V120","kana","kána","ìkana","kana","tr","llamar","call out to (sb.)",,,,"A.M","B.M.M","M.M","kòó kána","kòó nikana","ukana",,,,,,
"V121","chintxee","chíntxeé","ìchìntxeé","chìntxeé",,"ayudar","help","chi-ntxee","PUT-?","PONER-?","A.MA","B.B.MA","B.MA","kòó chíntxeé","kòó nichìntxeé","uchìntxeè",,,,,,
"V122","ki'in","ki'in","ìki'in","ki'in","tr","agarrar, tomar (de agarrar)","take, grab",,,,"M.M","B.M.M","M.M",,,,,,,,,
"V123","txatxa","txátxá","ìtxàtxa","txàtxa",,"cagar","shit",,,,"A.A","B.B.M","B.M",,,,,,,,,
"V124","nuu","núu","ìnuu","nuu","intr","bajar","go down",,,,"AM","B.M","MM",,,,,,,,,
"V125","nuu se'e","núu se'e","ìnuu se'e","nuu se'e","intr","abortar","abort","nuu-se'e","go.down-child","bajar-niño","AM M.M","B.MM M.M","MM M.M",,,,,,,,,
"V126","keta","kéta","ìkèta","kèta","tr","poner, echar","put, throw",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V127","koyo","kóyo","ìkoyo","koyo","tr","vaciar","empty (by pouring content out)",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V128","xaa","xáà","ìxàà","xàà",,"llegar","arrive",,,,"AB","B.BB","BB",,,,,,,,,
"V129","satatan","sátátán","ìsátátán","sátátán","tr","curar","cure","sa-tatan","DO-medicine","HACER-medicina","A.A.A","B.A.A.A","A.A.A",,,,,,,,,
"V130","kini","kíní","ìkiní","kiní",,"retorcer","twist, crank",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V131","ntashita","ntáshìtá","ìntashìtá","ntashìtá","intr","tener un calambre","cramp","nta-shita","ITER-pull?","ITER-tirar?","A.B.A","B.M.B.A","M.B.A",,,,,,,,,
"V132","kuna","xúnà","ìxùnà","kùnà","intr","reproducir, multiplicar, extender / ser contagioso","reproduce, multiply, spread / be contageous",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V133","kukumi","kúmí","ìxìkumí","kukumí","tr","tener","have",,,,"A.A","B.B.M.A","M.M.A","kòó kúmí","kòó níxìkumí","okókúmí",,,,,,
"V134","tavi","távi","ìtavi","tavi","tr","asar","roast, grill",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V135","si'vi","sí'ví","ìsi'ví","si'ví",,"robar","steal",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V136","ntava","ntáva","ìntava","ntava","intr","brincar","jump",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V137","kani'i","káni'i","ìkani'i","kani'i",,"levantar","lift","ka-ni'i","?-get?","?-obtener?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V138","chiñu'u","chiñú'ún","ìchiñú'ún","chiñú'ún","tr","adorar","worship","chi-ñu'u","PUT-fire","PONER-lumbre","M.A.A","B.M.A.A","M.A.A",,,,,,,,,
"V139","kataxa'a","xitaxá'á","ìxìtaxá'á","kataxá'á","intr","bailar","dance","kata-xa'a","sing-foot","cantar-pie","M.M.A.A","B.B.M.A.A","M.M.A.A",,,,,,,,,
"V140","ki'vi","kí'vi","ìkì'vi","kì'vi",,"entrar","enter",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V141","kukii","kíí","ìxìkii","kukii","intr","ser (COP)","be (COP)",,,,"AA","B.B.MM","M.MM",,,,,,,,,
"V142","ntakatxa","ntákatxa","ìntakatxa","ntakatxa","tr","lavar","wash","nta-katxa","ITER-throw?/dig?","ITER-tirar?/escavar?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,"this is the same as ntikatxa, there is no difference in meaning"
"V143","katun","kátùn","ìkàtùn","kàtùn","ambi","amarrar","tie",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V144","ntikaxi","ntíkáxí","ìntikáxí","ntikáxí","intr","despertarse","wake up","nti-kaxi","ITER-eat?","ITER-comer?","A.A.A","B.M.A.A","M.A.A",,,,,,,,,
"V145","txivintxaa","txívintxaa","ìtxivintxaa","txivintxaa",,"escupir","spit","txivi-ntxaa","blow-?","soplar-?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V146","ntakoto","ntákoto","ìntakoto","ntakoto",,"remendar","mend","nta-koto","ITER-take.care","ITER-cuidar","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V147","kunu","xínu","ìxinu","kunu","intr","correr, escapar","run",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V148","chinii","chínii","ìchinii","chinii","tr","insertar","insert","chi-nii","PUT-?","PONER-?","A.MM","B.M.MM","M.MM",,,,,,,,,
"V149","kutaka","ítaka","ìxitaka","kutaka","intr","colgarse","hang","i-taka","?-hang","?-colgar","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V150","kataka","kátaka","ìkataka","kataka","tr","colgar","hang","ka-taka","?-hang","?-colgar","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V151","ntata","ntátá","ìntatá","ntatá","tr","romper","tear",,,,"A.A","B.M.A","M.A",,,,,,,,,
