"ID","Loan","Mixteco","MixtecoToneless","Spanish","English","WordClass","ClasePalabra","Pronoun","Morphemes","GlossEnglish","GlossSpanish","SemanticField","CampoSemántico","ScientificName","LToneChange","ToneMelody","pMX","Source","NotesForm","NotesCulture","NotesMeta"
0017,,"xí'ì ntxìtxà","xi'i ntxitxa","rayo, relámpago","lightning (without sound, just the flash)","noun","sustantivo",,"xí'ì-ntxìtxà","die-?","morir-?","weather","clima",,"No","A.B B.B",,,"The form only refers to the flash. Another word ""tasha"" (M.M) refers to both the flash and the sound (thunderbolt) (YC)",,
0018,,"tù'un","tu'un","palabra","word","noun","sustantivo",,,,,"language","lenguaje",,,"B.M","*toʔo̱","Josserand83:9",,,
0019,,"yavì","yavi","maguey","century plant ","noun","sustantivo",,,,,"plant","planta",,"yes","M.B","*yawiʔ","Josserand83:2",,,
0020,,"xìkuaa","xìkuaa","noche","night ","noun","sustantivo",,,,,"time","tiempo",,,"B.MM",,,,,
0021,,"yàà","yaa","ceniza","ash ","noun","sustantivo",,,,,"fire","lumbre",,"Yes; before L tone; -1s","BB",,,,,
0022,,"ya'à","ya'a","chile","chili pepper ","noun","sustantivo","-an",,,,"food","comida",,,"M.B",,,,,
0023,,"sàvì","savi","lluvia","rain ","noun","sustantivo",,,,,"weather","clima",,"Yes; before L for sure, maybe others too","B.B","*sawiʔ","Josserand83:1",,,
0024,,"nìì","nii","sal","salt ","noun","sustantivo",,,,,"food","comida",,"Yes; -1s; ?","BB","*yɨɨ̱ʔ","Josserand83:41",,,
0025,,"ve'e","ve'e","casa","house ","noun","sustantivo",,,,,"society","sociedad",,,"M.M","*weʔyi","Josserand83:164",,,
0026,,"yikìn","yikin","calabaza","squash ","noun","sustantivo",,,,,"food","comida",,"Yes; -1sg; ?","M.B","*yɨkɨ̱ʔ","Josserand83:44",,,
0027,,"txìki","txìki","piojo","louse ","noun","sustantivo",,,,,"animal","animal",,,"B.M",,,,,
0028,,"yìì","yìì","piedra","rock ","noun","sustantivo",,,,,"nature","naturaleza",,"Yes; -1s; before MM and LM","BB","*yuuʔ","Josserand83:175",,,
0029,,"kòò","koo","culebra, serpiente","snake ","noun","sustantivo",,,,,"animal","animal",,"Yes; -1s; before LH ('black' LH tùún may be underlyingly LL-H, tùùn-H, black-ADJ)","BB","*kooʔ","Josserand83:69",,,
0030,,"ñù'mà","ñu'ma","humo","smoke ","noun","sustantivo",,,,,"fire","lumbre",,"yes","B.B","*yuʔwe̱","Josserand83:101",,,
0031,,"txìnana","txinana","tomate","tomato ","noun","sustantivo","-ri",,,,"food","comida",,,"B.M.M","*tɨ lanaʔ","Josserand83:90",,,
0032,,"sò'và","so'va","semilla","seed ","noun","sustantivo",,,,,"agriculture","agricultura",,,"B.B",,,,,
0033,,"kùñu","kuñu","carne","meat, flesh ","noun","sustantivo",,,,,"food","comida",,,"B.M","*koyo̱","Josserand83:30",,,
0034,,"yikì","yiki","montaña, monte","mountain, hill","noun","sustantivo",,,,,"nature > landscape","naturaleza | paisaje",,,"M.B","*yukuʔ","Josserand83:71",,,
0035,,"txìñùù","txiñuu","estrella","star ","noun","sustantivo",,,,,"cosmology","cosmología",,,"B.B",,,,,
0036,,"yò'o","yo'o","raíz, bejuco, liana","root, vine","noun","sustantivo",,,,,"plant","planta",,,"B.M",,,,,
0037,,"yòsó","yoso","metate","quern ","noun","sustantivo",,,,,"plant","planta",,,"B.A",,,,,
0038,,"nùtxí","nutxi","arena","sand ","noun","sustantivo",,,,,"nature","naturaleza",,,"B.A",,,,,
0039,,"ita","ita","flor","flower ","noun","sustantivo",,,,,"plant","planta",,,"M.M",,,,,
0040,,"ñuu","ñuu","pueblo","village ","noun","sustantivo",,,,,"society","sociedad",,,"MM","*yuu̱","Josserand83:100",,,
0041,,"tàchì","tachi","aire","air ","noun","sustantivo",,,,,"weather","clima",,"Yes; before MM and LM","B.B","*tatiʔ","Josserand83:51",,,
0042,,"nà-yivi","nayivi","gente","person ","noun","sustantivo",,"nà-yivi","PL.HUM-?","PL.HUM-?","society > people","sociedad > gente",,,"B.M.M","*ye̱ yɨwɨʔ","Josserand83:99",,,
0043,,"xòò","xoo","comal","griddle ","noun","sustantivo",,,,,"cooking","cocinar",,"Yes; -1s; before MM, LM, and possibly LL","BB","*xiyoʔ","Josserand83:19",,,
0044,,"yo'ò","yo'o","mecate","rope ","noun","sustantivo",,,,,"tool","herramienta",,,"M.B",,,,,
0045,,"lá'và","la'va","rana","frog ","noun","sustantivo",,,,,"animal","animal",,"NO","A.B","*laʔwa","Josserand83:148",,,
0046,,"ntxíkuààn ntxíkuiin","ntxikuaan ntxikuiin","tigre","jaguar, tiger ","noun","sustantivo",,,,,"animal","animal",,,"A.BB A.MM",,,,,
0047,,"kìsi","kisi","olla","pot ","noun","sustantivo",,,,,"cooking","cocinar",,,"B.M","*kɨsɨ","Josserand83:94",,,
0049,,"iñù","iñu","espina","thorn ","noun","sustantivo",,,,,"plant","planta",,,"M.B",,,,,
0050,,"tùùn","tuun","carbón","charcoal ","noun","sustantivo",,,,,"fire | cooking","lumbre | cocinar",,"Yes; -1s; before LM","BB",,,,,
0051,,"xìto","xito","cama, lecho","bed ","noun","sustantivo",,,,,"furniture","mobiliario",,,"B.M","*xito","Josserand83:18",,,
0052,,"leka","leka","bolsa","bag ","noun","sustantivo",,,,,"container","envase",,,"M.M",,,,,
0053,,"txìín","txiin","ratón","mouse ","noun","sustantivo",,,,,"animal","animal",,,"BA",,,,,
0054,,"txìntóò","txintoo","araña","spider ","noun","sustantivo",,,,,"animal","animal",,,"B.AB",,,,,
0055,,"kìì","kii","día, fecha","day, date ","noun","sustantivo",,,,,"time","tiempo",,"Yes; before LM","BB","*kɨwɨʔ","Josserand83:154",,,
0056,,"kaka","kaka","cal","quicklime ","noun","sustantivo",,,,,"nature","naturaleza",,,"M.M",,,,,
0057,,"nchishì","nchishi","elote","roasting ear of corn ","noun","sustantivo",,,,,"food | corn","comida | maíz",,"yes","M.B",,,,,
0058,"L","espéjó","espejo","espejo","mirror ","noun","sustantivo",,,,,,,,,"BB H.H.M BB.A",,,,,
0059,,"txìna","txina","perro","dog ","noun","sustantivo",,,,,"animal","animal",,,"B.M",,,,,
0060,"L","sápó","sapo","sapo","toad ","noun","sustantivo",,,,,"animal","animal",,,"A.A",,,,,
0061,,"txìsu'mà","txisu'ma","alacrán","scorpion ","noun","sustantivo",,,,,"animal","animal",,,"B.M.B","*tɨ luʔwe̱ʔ","Josserand83:139",,,
0062,,"(ǹ)txiví","(n)txivi","cielo ","sky","noun","sustantivo",,,,,"cosmology","cosmología",,,"M.A",,,,,
0063,,"vikò","viko","fiesta","festival ","noun","sustantivo",,,,,"society","sociedad",,,"M.B",,,,,
0064,,"yivì","yivi","petate","sleeping mat ","noun","sustantivo",,,,,"house | furniture","casa | mobiliario",,"No","M.B","*yuwiʔ","Josserand83:3",,,
0065,,"ichì","ichi","camino","path ","noun","sustantivo",,,,,"space","espacio",,,"M.B",,,,,
0066,,"kitxì","kitxi","animal","animal","noun","sustantivo",,,,,"animal","animal",,"maybe floating tone that associates with some following words (frío)","M.B","*kɨtɨʔ","Josserand83:35",,,
0067,,"lònchi","lonchi","zopilote","vulture ","noun","sustantivo",,,,,"animal","animal",,,"B.M",,,,,
0068,,"vìkò","viko","nube","cloud ","noun","sustantivo",,,,,"weather","clima",,"Yes; at least before some MM and LM words","B.B",,,,,
0069,,"sànii","sanii","olote","corn cob ","noun","sustantivo",,,,,"plant | corn","planta | maíz",,,"B.MM",,,,,
0070,,"txìñùù sò'o la'là","txiñuu so'o la'la","murciélago","bat ","noun","sustantivo",,"txìñùù-sò'o-la'là","star-ear-membrane","estrella-oreja-membrano","animal","animal",,"No","B.BB B.M M.B",,,,,
0071,,"yixàn","yixan","masa","corn dough ","noun","sustantivo",,,,,"food | corn","comida | maíz",,,"M.B","*yuxe̱ʔ","Josserand83:109",,,
0072,,"ñùñù","ñuñu","abeja","bee ","noun","sustantivo",,,,,"animal","animal",,,"B.B ",,,,,
0073,,"isi","isi","venado","deer ","noun","sustantivo",,,,,"animal","animal",,,"M.M","*isu","Josserand83:12",,,
0074,,"txìka","txika","chapulín","grasshopper ","noun","sustantivo",,,,,"animal","animal",,,"B.M",,,,,
0077,,"yìtxa","yitxa","río","river ","noun","sustantivo",,,,,"nature > landscape","naturaleza | paisaje",,,"B.M ","*yute","Josserand83:23",,,
0078,,"lánko","lanko","tlacuache","(o)possum ","noun","sustantivo",,,,,"animal","animal",,,"A.M",,,,,
0079,,"ntòò","ntoo","caña","sugar cane ","noun","sustantivo",,,,,"food","comida",,"Yes; -1s; LL","BB","*ⁿdooʔ","Josserand83:93",,,
0080,,"ntàki","ntaki","escoba","broom ","noun","sustantivo",,,,,"food","comida",,,"B.M",,,,,
0081,,"chìchí","chichi","aguacate","avocado ","noun","sustantivo",,,,,"food","comida",,,"B.A",,,,,
0082,,"kuìkà","kuika","peine","comb ","noun","sustantivo",,,,,"tool","herramienta",,"Yes; -1s; before LM, and before some MH, MM, and LM","B.B","*kuka","Josserand83:172",,,
0083,,"yátí","yati","red(e)","net, mesh ","noun","sustantivo",,,,,"tool","herramienta",,,"A.A",,,,,
0084,"L","áríná","arina","harina","flour ","noun","sustantivo",,,,,"food","comida",,,"A.A.A",,,,,
0085,,"ntxì'i","ntxi'i","grano","pimple, rash ","noun","sustantivo",,,,,"body | health","cuerpo | salud",,,"B.M ","*ⁿdɨʔyɨ","Josserand83:144",,,
0086,,"itxa","itxa","zacate, pasto","grass ","noun","sustantivo",,,,,"nature","naturaleza",,,"M.M",,,,,
0087,,"kàa","kaa","fierro; campana","metal; bell","noun","sustantivo",,,,,"material","material",,,"BM",,,,,
0088,,"titi","titi","papel","paper ","noun","sustantivo",,,,,"material","material",,,"M.M",,,,,
0089,,"ntùshi","ntushi","miel","honey ","noun","sustantivo",,,,,"food","comida",,,"B.M ","*ⁿdusi","Josserand83:96",,,
0090,,"ntàà","ntaa","ixtle, fibra de maguey","maguey fiber ","noun","sustantivo",,,,,"plant","planta",,"Yes; -1s; before LM","BB",,,,,
0091,,"ña'mi","ña'mi","camote","tuber, sweet potato ","noun","sustantivo",,,,,"food","comida",,,"M.M",,,,,
0092,,"yakuìn","yakuin","armadillo","armadillo","noun","sustantivo",,,,,"animal","animal",,"Yes; -1s; ?","M.B","*yakʷi̱ʔ","Josserand83:72",,,
0093,,"lakuàn","lakuan","pus, materia, lagaña","pus, rheum, eye booger","noun","sustantivo",,,,,"health","salud",,,"M.B","*lakʷaʔ","Josserand83:76","Homophonous with 'lagaña': lakuàn ",,
0094,,"txìyòó","txiyoo","cangrejo","crab ","noun","sustantivo",,,,,"animal","animal",,,"B.BA",,,,,
0095,,"ñùmà","ñuma","cera","wax","noun","sustantivo",,,,,"material","material",,"No","B.B","*yuwe̱ʔ","Josserand83:7",,,
0096,,"chìkuilo","chikuilo","zorro, zorra","fox ","noun","sustantivo",,,,,"animal","animal",,,"B.M.M",,,,,
0097,,"shù'ún","shu'un","dinero","money ","noun","sustantivo",,,,,"society","sociedad",,,"B.A",,,,,
0098,"L","lúùs","luus","luz","light ","noun","sustantivo",,,,,,,,,"AB",,,,,
0099,,"sò'và","so'va","cacao, chocolate","cacao, chocolate","noun","sustantivo",,,,,"food","comida",,,"M.B","*sɨʔwa","Josserand83:128",,,
0100,,"xìxa","xixa","copal","incense ","noun","sustantivo",,,,,,,,,"B.M",,,,,
0101,,"tùmi","tumi","pluma","feather ","noun","sustantivo",,,,,"animal","animal",,,"B.M","*towi̱","Josserand83:5",,,
0102,,"shà'an","sha'an","grasa, manteca","fat, lard","noun","sustantivo",,,,,"food","comida",,,"B.M","*seʔe̱","Josserand83:13",,,
0103,,"kuàchi","kuachi","culpa","fault, blame ","noun","sustantivo",,,,,"society","sociedad",,,"B.M","*kʷeti","Josserand83:20",,,
0104,,"ntxè'ì ","ntxe'i","barro","clay","noun","sustantivo",,,,,"material","material",,,"B.B","*ⁿdeʔyu","Josserand83:24",,,
0105,,"yò'và","yo'va","hilo","thread ","noun","sustantivo",,,,,"clothes","ropa",,,"B.B","*yuʔwe","Josserand83:34",,,
0106,,"chìñù","chiñu","espuma","foam ","noun","sustantivo",,,,,,,,,"B.B","*tɨ iyũ","Josserand83:38",,,
0107,,"yaxì","yaxi","jícara","gourd","noun","sustantivo",,,,,"container","envase",,"yes","M.B","*yexi̱ʔ","Josserand83:43",,,
0108,,"chuun","chuun","trabajo","work ","noun","sustantivo",,,,,"society","sociedad",,,"MM","*tiyo̱","Josserand83:49",,,
0109,,"xati","xati","pantalón","pants ","noun","sustantivo",,,,,"clothes","ropa",,,"M.M","*xetu","Josserand83:181",,,
0110,,"íntxixàn","intxixan","huarache","sandal ","noun","sustantivo",,,,,"clothes","ropa",,,"A.M.B","*ⁿdixẽʔ","Josserand83:125",,,
0111,,"ma'à","ma'a","mapache","raccoon ","noun","sustantivo",,,,,"animal","animal",,,"M.B",,,,,
0112,,"kàchì","kachi","algodón","cotton ","noun","sustantivo",,,,,"material | clothes","material | ropa",,"Yes, at least with và'a, maybe others","B.B","*katiʔ","Josserand83:50",,,
0113,,"ña'à","ña'a","mujer","woman ","noun","sustantivo",,,,,"people","gente",,,"M.B",,,,,
0114,,"txàa","txaa","hombre","man ","noun","sustantivo",,,,,"people","gente",,,"BM","*teye","Josserand83:52",,,
0115,,"xìtùn","xitun","horno","oven in the ground","noun","sustantivo",,,,,"cooking","cocinar",,"Yes; -1s; No?, not before MM or LM","B.B","*xitu̱","Josserand83:54",,,
0116,,"kuìà","kuia","año","year ","noun","sustantivo",,,,,"time","tiempo",,,"B.B","*kʷiya","Josserand83:74",,,
0117,,"txìñá'á","txiña'a","demonio","demon, devil ","noun","sustantivo",,,,,"society","sociedad",,,"B.A.A",,,,,
0118,,"nchìchi","nchichi","ejote","green bean ","noun","sustantivo",,,,,"food","comida",,,"B.M","*ⁿditi","Josserand83:91",,,
0119,,"ntxikà","ntxika","plátano","banana ","noun","sustantivo",,,,,"food | plant > fruit","comida | planta > fruta",,"Yes; possibly before any word or melody","M.B",,,,,
0120,"L","limú","limu","limón","lime ","noun","sustantivo",,,,,"food | plant > fruit","comida | planta > fruta",,,"M.A",,,,,
0121,"L","varréntxé","varrentxe","mezcal, aguardiente","mezcal, liquor ","noun","sustantivo",,,,,"food > liquid","comida > líquido",,,"M.A.A",,,,,
0122,,"tùvì'ntxá","tuvi'ntxa","nopal","prickly pear cactus ","noun","sustantivo",,"tù-vì'ntxá","TREE-?","ARB-?","plant | food","planta | comida",,,"B.B.A","*wiʔⁿdeʔ","Josserand83:118",,,
0123,,"machi","machi","polvo","dust, powder ","noun","sustantivo",,,,,"material","material",,,"M.M   ",,,,,
0124,,"kuiñu","kuiñu","hinchazón","swelling ","noun","sustantivo",,,,,"health","salud",,,"M.M","*kʷɨyɨ̱","Josserand83:143",,,
0125,,"yosò","yoso","llanura, cerro donde hay una pastura","grassland","noun","sustantivo",,,,,"nature > landscape","naturaleza | paisaje",,,"M.B","*yosoʔ","Josserand83:156",,,
0126,,"txé'é","txe'e","cucaracha","cockroach ","noun","sustantivo",,,,,"animal","animal",,,"A.A","*tɨ teʔyaʔ","Josserand83:159",,,
0127,,"ntxìká xa'à","ntxika xa'a","mamey","custard apple ","noun","sustantivo",,"ntxìká-xa'à","banana-foot","plátano-pie","food | plant > fruit","comida | planta > fruta",,,"B.A M.B","*ⁿdikaʔ","Josserand83:165",,,
0128,,"nañà","naña","chayote","chayote squash ","noun","sustantivo",,,,,"food","comida",,,"M.B",,,,,
0129,,"itxààn","itxaan","mañana","tomorrow","adverb","adverbio",,,,,"time","tiempo",,,"M.BB",,,,,
0130,,"isá","isa","pasado mañana","day after tomorrow ","adverb","adverbio",,,,,"time","tiempo",,,"M.A","*isa","Josserand83:132",,,
0131,,"kuni","kuni","ayer","yesterday ","adverb","adverbio",,,,,"time","tiempo",,,"M.M","*iku","Josserand83:170",,,
0132,,"yiki ñuu","yiki ñuun","antier, ante ayer","day before yesterday ","adverb","adverbio",,"yiki-ñuu","?-?","?-?","time","tiempo",,,"M.M MM",,,,,
0133,,"vitxi","vitxi","hoy, ahora","today, now","adverb","adverbio",,,,,"time","tiempo",,,"M.M","*witi̱","Josserand83:134",,,
0134,,"yíyí","yiyi","rocío, sereno","dew ","noun","sustantivo",,,,,"weather","clima",,,"A.A","*yuyuʔ","Josserand83:178",,,
0135,,"yìkì","yiki","hierba","herbaceous plant ","noun","sustantivo",,,,,"plant","planta",,,"B.B","*yuku","Josserand83:179",,,
0136,,"ntxikuání","ntxikuani","ardilla","squirrel ","noun","sustantivo",,,,,"animal","animal",,,"M.A.A","*kʷeyu̱ʔ","Josserand83:185",,,
0137,,"yìkì ìnù","yiki inu","tabaco","tobacco ","noun","sustantivo",,"yìkì-ìnù","herb-?","hierba-?","plant","planta",,"No","B.B B.B","*ino","Josserand83:188",,,
0138,,"tùyòó","tuyoo","carrizo","reed","noun","sustantivo",,"tù-yòó","TREE-?","ARB-?","plant","planta",,,"B.B.A",,,,,
0139,,"ntxikìn","ntxikin","cuerno","horn ","noun","sustantivo",,,,,"animal | body","animal | cuerpo",,"Yes; -1s; ?","B.B.A","*ⁿdɨkɨʔ","Josserand83:68",,,
0140,"L","tórtúgá","tortuga","tortuga","turtle","noun","sustantivo",,,,,"animal","animal",,,"A.A.A",,,"Tone: MMA? (AVB).",,
0141,,"txò'ló","txo'lo","pulga","flea","noun","sustantivo",,,,,"animal","animal",,,"B.A",,,"Tone: BM? BA? (AVB).",,
0142,,"ntò'ò","nto'o","tenate","tortilla basket","noun","sustantivo",,,,,"container","envase",,,"B.B",,,"Tone: BB MD (AVB).",,
0143,,"ítxikí","itxiki","aguja","needle","noun","sustantivo",,,,,"tool","herramienta",,,"A.M.A",,,"Tone: MAM (AVB).",,
0144,,"txitxa","txitxa","atole","corn gruel","noun","sustantivo",,,,,"food","comida",,,"M.M",,,"Tone: MM (AVB).",,
0145,,"tùxìí","tuxii","rifle, arma","rifle, weapon","noun","sustantivo",,"tù-xìí","TREE-?","ARB-?","tool","herramienta",,,"B.BA",,,"Tone: MA? (AVB).",,
0146,,"tìká","tika","canasta","basket","noun","sustantivo",,,,,"container","envase",,,"B.A ",,,"Tone: MA (AVB).",,
0147,,"nùù xíkutxíyá'á-na","nuu xikutxiya'a-na","hamaca","hammock","noun","sustantivo",,"nùù-xíkutxíyá'á-na","where-swing-3PL","dónde-columpiar-3PL","furniture","mobiliario",,,"BB A.M.A.A.A-M",,,,,
0148,,"txà-kuì'ná","txakui'na","ladrón (m)","thief (m)","noun","sustantivo",,"txà-kuì'ná","M-steal?","M-robar?","people","gente",,,"B.B.A",,,"Tone: BMA? (AVB).",,
0149,,"xì'ì","xi'i","hongo","mushroom","noun","sustantivo",,,,,"food","comida",,,"B.B",,,"Tone: AB (AVB).",,
0150,,"ì'ní","i'ni","caliente","hot","adjective","adjetivo",,,,,"temperature","temperatura",,"Maybe; initial L might receive floating H tone after LL shìtà 'tortilla'","B.A","*iʔniʔ","Josserand83:84",,,
0151,,"vìxin","vixin","frío","cold","adjective","adjetivo",,,,,"temperature","temperatura",,,"B.M","*wixi̠ ","Josserand83:124",,,
0152,,"lo'o","lo'o","pequeño, chico","small","adjective","adjetivo",,,,,"size","tamaño",,,"M.M","*luʔu","Josserand83:153",,,
0153,,"ká'nu","ka'nu","grande (SG, de cosa)","big (SG, of thing)","adjective","adjetivo",,,,,"size","tamaño",,,"A.M","*kaʔnuʔ","Josserand83:65",,,
0154,,"và'a","va'a","bueno","good","adjective","adjetivo",,,,,,,,,"B.M","*waʔa","Josserand83:112",,,
0155,,"ùvá'a","uva'a","malo","bad","adjective","adjetivo",,"ù-vá'a","NEG-good","NEG-bueno",,,,,"B.A.M",,,,,
0156,,"tùún","tuun","negro","black","adjective","adjetivo",,,,,"color","color",,,"BA",,,,,
0157,,"kuíxín","kuixin","blanco","white","adjective","adjetivo",,,,,"color","color",,,"A.A",,,,,
0158,,"kuá'á","kua'a","rojo","red","adjective","adjetivo",,,,,"color","color",,,"A.A","*kʷeʔe","Josserand83:31",,,
0159,,"kuíì","kuii","verde","green","adjective","adjetivo",,,,,"color","color",,,"AB",,,,,
0160,,"kuáán","kuaan","amarillo","yellow","adjective","adjetivo",,,,,"color","color",,,"MA","*kʷaa̠","Josserand83:78",,,
0161,,"nà-xá'nu","na-xa'nu","ancianos/as","elders","noun","sustantivo",,"nà-xá'nu","PL.HUM-big","PL.HUM-grande","society > people","sociedad > gente",,,"M.A.M",,,,,
0162,,"nà-yitxà","na-yitxa","joven","young","noun","sustantivo",,"nà-yitxà","PL.HUM-?","PL.HUM-?","society > people","sociedad > gente",,,"B.M.B",,,,,
0163,,"ntxíkà","ntxika","ancho","wide","adjective","adjetivo",,,,,"size","tamaño",,,"A.B",,,,,
0164,,"kuíìn","kuiin","delgado","thin","adjective","adjetivo",,,,,"size","tamaño",,,"AB",,,,,
0165,,"vìshì","vishi","dulce","sweet","adjective","adjetivo",,,,,"taste","sabor",,,"B.B","*wisi̠","Josserand83:133",,,
0166,,"òvà","ova","amargo","bitter","adjective","adjetivo",,,,,"taste","sabor",,,"B.B","*owe","Josserand83:29",,,
0167,,"ò'và","o'va","salado","salty","adjective","adjetivo",,,,,"taste","sabor",,"No","B.B","*oʔwe","Josserand83:47",,,
0168,,"iyá","iya","agrio","sour","adjective","adjetivo",,,,,"taste","sabor",,,"M.A",,,,,
0169,,"kánì","kani","largo (de distancia)","long (of distance)","adjective","adjetivo",,,,,,,,,"A.B",,,,,
0170,,"kuítxí","kuitxi","corto","short","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0171,,"súkún","sukun","alto/a","tall","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0172,,"naa","naa","oscuro","dark","adjective","adjetivo",,,,,,,,,"MM",,,,,
0173,,"kuìxan","kuixan","claro","clear","adjective","adjetivo",,,,,,,,,"B.M",,,,,
0174,,"iin","iin","uno","one","numeral","numeral",,,,,"number","número",,,"MM",,,,,
0175,,"ìvì","ivi","dos","two","numeral","numeral",,,,,"number","número",,,"B.B","*uwi","Josserand83:138",,,
0176,,"ùnì","uni","tres","three","numeral","numeral",,,,,"number","número",,,"B.B","*oni","Josserand83:26",,,
0177,,"kòmì","komi","cuatro","four","numeral","numeral",,,,,"number","número",,"Yes; before MM and some LL with *ʔ#","B.B","*kɨwi̠ʔ","Josserand83:4",,,
0178,,"ùn'ùn","un'un","cinco","five","numeral","numeral",,,,,"number","número",,,"B.B","*oʔo̠","Josserand83:28",,,
0179,,"ìñù ","iñu ","seis","six","numeral","numeral",,,,,"number","número",,,"B.B","*iyo̠","Josserand83:106",,,
0180,,"ìxà","ixa","siete","seven","numeral","numeral",,,,,"number","número",,,"B.B","*uxe","Josserand83:33",,,
0181,,"ùnà","una","ocho","eight","numeral","numeral",,,,,"number","número",,,"B.B","*one","Josserand83:89",,,
0182,,"ììn","iin","nueve","nine","numeral","numeral",,,,,"number","número",,,"BB",,,"Carmen says this is just B, but should be written with two ì so people know it's long",,
0183,,"ìxì","ixi","diez","ten","numeral","numeral",,,,,"number","número",,,"B.B","*uxi","Josserand83:123",,,
0184,,"ìxì iin","ixi iin","once","eleven","numeral","numeral",,"ìxì-iin","ten-one","diez-uno","number","número",,,"B.B MM",,,,,
0185,,"ìxì ìvì","ixi ivi","doce","twelve","numeral","numeral",,"ìxì-ìvì","ten-two","diez-dos","number","número",,"No","B.B B.B",,,,,
0186,,"ìxì ùnì","ixi uni","trece","thirteen","numeral","numeral",,"ìxì-ùnì","ten-three","diez-tres","number","número",,"No","B.B B.B",,,,,
0187,,"ìxì kòmì","ixi komi","catorce","fourteen","numeral","numeral",,"ìxì-kòmì","ten-four","diez-cuatro","number","número",,"No","B.B B.B",,,,,
0188,,"xà'ùn","xa'un","quince","fifteen","numeral","numeral",,,,,"number","número",,,"B.B","*xeʔu̠","Josserand83:121","Homophonous with 'your feet'; maybe because you count up to ten on your hands and then start counting on your feet? (JF).",,
0189,,"xà'ùn iin","xa'un iin","dieciséis","sixteen","numeral","numeral",,"xà'ùn-iin","fifteen-one","quince-uno","number","número",,,"B.B MM",,,,,
0190,,"xà'ùn ìvì","xa'un ivi","diecisiete","seventeen","numeral","numeral",,"xà'ùn-ìvì","fifteen-two","quince-dos","number","número",,"No","B.B B.B",,,,,
0191,,"xà'ùn ùnì","xa'un uni","dieciocho","eighteen","numeral","numeral",,"xà'ùn-ùnì","fifteen-three","quince-tres","number","número",,"No","B.B B.B",,,,,
0192,,"xà'ùn kòmì","xa'un komi","diecinueve","nineteen","numeral","numeral",,"xà'ùn-kòmì","fifteen-four","quince-cuatro","number","número",,"No","B.B B.B",,,,,
0193,,"òkò","oko","veinte","twenty","numeral","numeral",,,,,"number","número",,,"B.B",,,,,
